L/W,H/P,Wi/Wo,P/Wu,Observed_CPK,Predicted_CPK
4.61437908496732,0.71931,1.0,0.725490196078431,1.24062,1.1794238380230284
5.08055342044581,0.9799,1.28498226251478,0.844504227517294,1.0268306518063,0.9825330879533132
5.0,0.3698,1.57142857142857,0.666666666666667,1.91512801427414,1.9616231731351002
5.0796573875803,0.88974,1.24972972972973,0.843254817987152,1.1301004,1.0798470107843423
5.08118081180812,0.40611,1.28548895899054,0.844710947109471,1.64721719557196,1.7580657146605296
5.0,0.7506,1.57142857142857,1.0,1.22054665541668,1.3117524586186065
5.0796573875803,0.50851,1.24972972972973,0.843254817987152,1.50029,1.5957008575958955
5.0,0.589583333333333,1.57142857142857,0.8,1.53977886548738,1.600773128663167
5.90881823635273,0.52304,1.2,0.899820035992801,1.52553,1.7118754864479526
4.8974358974359,0.305924268515603,1.0,0.807692307692308,1.67717003191983,1.784361778660152
5.99,0.24722,1.2247191011236,1.25,2.31364,2.0336275582279786
5.0,0.410933333333333,1.57142857142857,1.0,1.70216568362321,1.7874632925425176
5.90881823635273,0.80973,1.2,0.899820035992801,1.188105,1.3320953911205762
5.08118081180812,0.80058,1.28548895899054,0.844710947109471,1.1519036900369,1.2061895626992745
5.0,0.6631,1.57142857142857,0.666666666666667,1.4498956709546,1.549908493539733
4.03,0.18885,1.0,1.3125,1.682655,1.6458830287598447
4.8974358974359,0.448688466028511,1.0,0.807692307692308,1.3832380521299,1.5730903690300293
5.0,1.1232,1.57142857142857,0.666666666666667,1.10631336405779,0.9905834323125808
5.90881823635273,0.85065,1.2,0.899820035992801,1.15779,1.2811858672897611
4.9,0.150470957613814,1.5,1.0,2.55578312455893,2.13323401598707
5.08140531276778,0.19192,1.49699879951981,0.843616109682948,2.4240436,2.155753411238467
5.08118081180812,0.50292,1.28548895899054,0.844710947109471,1.47628627306273,1.6163730390388744
4.03,0.32742,1.0,1.3125,1.381935,1.450967513131393
5.99,0.19145,1.0,1.25,2.58308,2.0490660112349977
4.9039039039039,0.8785,1.25384615384615,0.651651651651652,1.1267487,1.1384493163844969
4.8974358974359,0.268245388349106,1.0,0.807692307692308,1.8093852092638,1.8411100294241596
4.61437908496732,0.69443,1.0,0.725490196078431,1.25697,1.2119685504400883
5.0796573875803,0.24569,1.24972972972973,0.843254817987152,2.181619,1.986817772074832
4.3,0.48957,1.25,0.666666666666667,1.43511,1.549246967034802
4.61437908496732,0.62387,1.0,0.725490196078431,1.31676,1.3060117579785602
5.90881823635273,0.19494,1.2,0.899820035992801,2.62479,2.182226576978253
5.08055342044581,0.23114,1.28498226251478,0.844427363566487,2.15151276249039,2.0211430904323096
5.0,0.734333333333333,1.57142857142857,0.5,1.40700029149634,1.5219367556874563
5.0806600389464,0.30351,1.28485087373538,0.84452188172594,1.90128459977452,1.911242163404529
4.3,0.30901,1.25,0.666666666666667,1.82213,1.8006525864303966
5.08055342044581,0.70359,1.28498226251478,0.844427363566487,1.23940100691776,1.3347868922782467
4.9039039039039,0.39745,1.25384615384615,0.651651651651652,1.6899309,1.791891452780961
5.0796573875803,0.9269,1.24972972972973,0.843254817987152,1.1085954,1.0339468466933337
4.61437908496732,0.39301,1.0,0.725490196078431,1.64898,1.6293549751359517
5.08140531276778,0.83718,1.49699879951981,0.843616109682948,1.1391578,1.2401295446053153
4.61437908496732,0.31985,1.0,0.725490196078431,1.807485,1.7359015871136325
5.0,0.414199285392963,1.24929709465792,0.5,1.72470161677421,1.8390143852397194
4.9,0.500863422291993,1.5,1.0,1.49744155786874,1.61068634535745
4.9039039039039,0.97272,1.25384615384615,0.651651651651652,1.062558,1.0250917766629313
4.03,0.20599,1.0,1.3125,1.620375,1.6215148556014938
4.3,0.32888,1.25,0.666666666666667,1.69914,1.7724931117119782
5.0796573875803,0.62149,1.24972972972973,0.843254817987152,1.3579016,1.4352086733141523
5.0,1.42726666666667,1.57142857142857,0.5,1.00410863948711,0.7759010991501887
4.8974358974359,0.197046952825005,1.0,0.807692307692308,2.11824035570778,1.9492311955242507
5.0,0.34725,1.57142857142857,1.33333333333333,1.67263866615389,1.7789203472518011
5.0796573875803,0.43299,1.24972972972973,0.843254817987152,1.6315464,1.7058530876239466
5.0796573875803,0.90726,1.24972972972973,0.843254817987152,1.1168938,1.0580962376243734
5.0796573875803,0.19857,1.24972972972973,0.843254817987152,2.3629188,2.058829884345794
5.08055342044581,0.28051,1.28498226251478,0.844427363566487,1.98710605380477,1.9460811612326068
5.08055342044581,0.90282,1.28498226251478,0.844427363566487,1.09257301306687,1.0761171177897704
4.8974358974359,0.643646742582299,1.0,0.807692307692308,1.17328239183184,1.297062321003875
5.0,0.51,1.57142857142857,0.5,1.69426560526247,1.822904088023925
4.03,0.33687,1.0,1.3125,1.367445,1.4378697599274064
5.08140531276778,0.64324,1.49699879951981,0.843616109682948,1.3162578,1.4972977498431121
5.0796573875803,0.21005,1.24972972972973,0.843254817987152,2.317733,2.0412474322363368
4.3,0.35007,1.25,0.666666666666667,1.69312,1.742583555148261
5.0,0.291025,1.57142857142857,1.33333333333333,1.87090754662515,1.8629962576613552
4.03,0.20414,1.0,1.3125,1.64127,1.6241419129912504
4.03,0.46073,1.0,1.3125,1.18488,1.2690031661681622
5.08055342044581,0.92218,1.28498226251478,0.844504227517294,1.04217392313605,1.0522265735035152
4.03,0.52373,1.0,1.3125,1.11834,1.1853622037689928
5.0,0.5507,1.57142857142857,0.666666666666667,1.60276648499628,1.703794253052217
5.0806600389464,0.69979,1.28485087373538,0.84452188172594,1.21971405554986,1.3398756407429924
5.90881823635273,0.55539,1.2,0.899820035992801,1.48203,1.6672409734710012
5.99,0.48572,1.0,1.25,1.52314,1.6279527031785417
5.0796573875803,0.58916,1.24972972972973,0.843254817987152,1.39403,1.480562402951088
4.3,0.2127,1.25,0.666666666666667,2.09271,1.938514353700941
5.0,0.686533333333333,1.57142857142857,0.5,1.45492162212161,1.5841826724335704
4.8974358974359,0.220567279208707,1.0,0.807692307692308,2.02513225286325,1.9133967376692094
5.08055342044581,0.51106,1.28498226251478,0.844504227517294,1.45634063797079,1.6043821276448003
4.3,0.18501,1.25,0.666666666666667,2.14737,1.978514136770574
4.8974358974359,0.280866512516436,1.0,0.807692307692308,1.78996178063137,1.822061780327661
5.99,0.37618,1.0,1.25,1.70894,1.7820881902891172
5.08140531276778,0.28799,1.49699879951981,0.843616109682948,2.0350814,2.010694128553672
